r (kpc),V_c (km/s),error (km/s),tracer
4.6,231.24,7,H I
5.08,230.46,7,H I
5.58,230.01,7,H I
6.1,239.61,7,H I
6.57,246.27,7,H I
7.07,243.49,7,H I
7.58,242.71,7,H I
8.04,243.23,7,H I
8.34,239.89,5.92,MRCG
8.65,237.26,6.29,MRCG
9.2,235.3,5.6,MRCG
9.62,230.99,5.49,MRCG
10.09,228.41,5.62,MRCG
10.58,224.26,5.87,MRCG
11.09,224.94,7.02,MRCG
11.58,233.57,7.65,MRCG
12.07,240.02,6.17,MRCG
12.73,242.21,8.64,MRCG
13.72,261.78,14.89,MRCG
14.95,259.26,30.84,MRCG
15.52,268.57,49.67,HKG
16.55,261.17,50.91,HKG
17.56,240.66,49.91,HKG
18.54,215.31,24.8,HKG
19.5,214.99,24.42,HKG
21.25,251.68,19.5,HKG
23.78,259.65,19.62,HKG
26.22,242.02,18.66,HKG
28.71,224.11,16.97,HKG
31.29,211.2,16.43,HKG
33.73,217.93,17.66,HKG
36.19,219.33,18.44,HKG
38.73,213.31,17.29,HKG
41.25,200.05,17.72,HKG
43.93,190.15,18.65,HKG
46.43,198.95,20.7,HKG
48.71,192.91,19.24,HKG
51.56,198.9,21.74,HKG
57.03,185.88,21.56,HKG
62.55,172.89,22.89,HKG
69.47,196.36,25.89,HKG
79.27,175.05,22.71,HKG
98.97,147.72,23.55,HKG